SupChain_id	SupChain_name	Fuel_id	RawMat_id	Efficiency	Cost_processing	Cost_transportation	Emissions_processing	Emissions_transportation	Fuel_percentage	FuelTransp_distance
1	Electricity	1	1	0.9	0	0	0	0	1	0
2	LPG	2	2	0.98	0	0	0.05	0.02	1	10
3	Private-Biogas	3	5	0.0453	0	0	0.01	0.03	1	10
4	Charcoal-Remote	4	3	0.143	0	0	2	0.02	0.2	50
5	Charcoal-Local	4	3	0.143	0	0	2	0.03	0.8	2
6	Firewood-Remote	5	3	0.95	0	0	0.01	0.02	0.1	50
7	Firewood-Local	5	3	0.95	0	0	0.01	0.03	0.9	2
8	Free-CropsWaste 	6	6	1	0	0	0	0.001	1	0
9	Wood-Pellets	7	3	0.95	0	0	0.05	0.005	1	10
10	Free-Firewood	8	3	0.98	0	0	0	0.001	1	0
11	Ethanol	9	4	0.98	0	0	0.05	0.02	1	20
