SocClust_Id	SocClust_Name	Is_Urban	Electric_0	Electric_1	Electric_2	LPG	Biogas	Charcoal_0	Charcoal_1	Charcoal_2	Com-Firewood_0	Com-Firewood_1	Com-Firewood_2	Free-Biomass_0	Free-Biomass_1	Free-Biomass_2	Pellets	Free-Firewood_0	Free-Firewood_1	Free-Firewood_2	Ethanol
1	adm_R	0	0.002	0.0001	0.0001	0.02	0.0002	0.02	0.05	0.004	0.31	0.226	0.027	0.03	0.029	0.014	0.003	0.15	0.1	0.0146	0
2	com_R	0	0.002	0.0001	0.0001	0.02	0.0002	0.02	0.05	0.004	0.31	0.226	0.027	0.03	0.029	0.014	0.003	0.15	0.1	0.0146	0
3	res_low_R	0	0.002	0.0001	0.0001	0.02	0.0002	0.02	0.05	0.004	0.31	0.226	0.027	0.03	0.029	0.014	0.003	0.15	0.1	0.0146	0
4	res_med_R	0	0.002	0.0001	0.0001	0.02	0.0002	0.02	0.05	0.004	0.31	0.226	0.027	0.03	0.029	0.014	0.003	0.15	0.1	0.0146	0
5	res_high_R	0	0.002	0.0001	0.0001	0.02	0.0002	0.02	0.05	0.004	0.31	0.226	0.027	0.03	0.029	0.014	0.003	0.15	0.1	0.0146	0
6	adm_U	1	0.015	0.002	0.001	0.3	0	0.08	0.33	0.027	0.08	0.05	0.015	0.008	0.005	0.003	0.001	0.03	0.015	0.018	0.02
7	com_U	1	0.015	0.002	0.001	0.3	0	0.08	0.33	0.027	0.08	0.05	0.015	0.008	0.005	0.003	0.001	0.03	0.015	0.018	0.02
8	res_low_U	1	0.015	0.002	0.001	0.3	0	0.08	0.33	0.027	0.08	0.05	0.015	0.008	0.005	0.003	0.001	0.03	0.015	0.018	0.02
9	res_med_U	1	0.015	0.002	0.001	0.3	0	0.08	0.33	0.027	0.08	0.05	0.015	0.008	0.005	0.003	0.001	0.03	0.015	0.018	0.02
10	res_high_U	1	0.015	0.002	0.001	0.3	0	0.08	0.33	0.027	0.08	0.05	0.015	0.008	0.005	0.003	0.001	0.03	0.015	0.018	0.02
