State_ID	Year	Area	Price_per_Cook_USD	Expenditure_USD/Year	Percent_Increment_vs_Prev	Semester
0	2025	rural	0.096	416.674	0.0	first
0	2025	urban	0.112	250.763	0.0	first
1	2025	rural	0.091	392.163	-5.88	second
1	2025	urban	0.108	241.361	-3.75	second
10	2030	rural	0.038	162.026	-58.68	first
10	2030	urban	0.064	197.04	-18.36	first
11	2030	rural	0.037	161.182	-0.52	second
11	2030	urban	0.064	196.715	-0.16	second
20	2033	rural	0.034	143.908	-10.72	first
20	2033	urban	0.058	218.663	11.16	first
21	2033	rural	0.033	143.581	-0.23	second
21	2033	urban	0.058	218.187	-0.22	second
30	2038	rural	0.035	150.757	5.0	first
30	2038	urban	0.061	318.921	46.17	first
